company,job-title,level,job-description
Turing,Remote Python Software Developer,Entry level,"Exciting opportunity: A U.S.-based client seeks a Python Developer.The successful applicant will take the reins in conducting peer code reviews, championing a culture of continuous improvement through thoughtful evaluation and constructive criticism.What You'll Do:Develop high-quality Python code to address intricate problems efficientlyUtilize business acumen and analytical capabilities to extract insights from public databasesClearly communicate reasoning and logic in code written in Jupyter notebooks or similar platformsCollaborate closely with researchers to exchange insights and findingsMaintain thorough documentation for all code developedLeverage data analysis skills to address important business queries using various datasets, including those available from Kaggle, the UN, and government databases.What We Need From You:Open to candidates of various experience levels, ranging from juniors to industry veteransPossession of a degree in Engineering, Computer Science, or comparable practical experienceGood understanding of Python programming language for both writing and debugging codeAbility to handle intermediate Python coding tasks and grasp fundamental algorithmic conceptsStrong problem-solving aptitude, supported by exceptional reasoning and mathematical skillsProficient in English with effective communication abilities essential for successful teamworkCool Stuff for You:Meet smart people in AI all over the place.Work from wherever you want.Get paid well in USD.Help in doing new things that change how tech works, and grow your career too.If you think you can help make the team even better, try out the tests and MCQs to get matched with these jobs quickly. Come work with us!"
Quantsapp,Python Developer,Associate,"Person need to have good knowledge for writing codes in python and libraries like panda and numpy. also, should know web scraping - fetching data from websites and storing on system and extracting the required set of data.making api and wokring on aws and s3 is added advantage. Skills:- Python, NumPy, pandas, MySQL, Amazon Web Services (AWS) and Amazon S3"
Pinnacle Tech Systems,Python Developer Freshers,Entry level,"We are hiring for our client company.Currently we have requirement for Python developer fresherJob Location:- PunePkg:- 4.2 LPAFor more details visit below office addressPinnacle Tech SystemsOffice no.3, 1st floor, Grow work Business Park,Old Mumbai Pune highway, beside bhojwani sweet,dapodi, Pune- 411012.Monday to Saturday10am to 5pmSkills: python developer,python.,problem solving,software development,python"
Technofactorx AI,Junior Python Developer (Fresher Batch)-,Entry level,"What We HaveAn Agile team environment practicing ScrumNew technologies (Docker, AWS, Git, Python)A friendly environment where developers work together on the same systemTransparent communication using Slack, Jira, ZoomDevelopment of new functional business modulesHigh-level user support (technical)ResponsibilitiesCoordinating with development teams to determine application requirements.Build efficient back-end features in PythonWriting scalable code using Python programming language.Testing and debugging applications.Developing back-end components.Understanding of fundamental design principles behind a scalable applicationPosition RequirementsBachelors degree in Computer Science, Computer Engineering, or related field.Expert knowledge of Python and related frameworks (Tornado, FastAPI, Django, and Flask, )A deep understanding and multi-process architecture and the threading limitations of Python.Familiarity with testing tools.Experience with Agile and Scrum methodology.Ability to collaborate on projects and work independently when required.“Go-getter” attitude 1Should be comfortable working in our Bangalore office from Day 1.Should possess good communication skills.Skills: python,agile,application,communication,scrum,testing,aws,architecture,code,communication skills"
Oracle,Python Developer,Mid-Senior level,"Title: Sr.Software developer (Python development, Perl/Shell/Bash)Loc: BangaloreExperience: 2-15 YearsWe are looking for high caliber Senior Software Development Engineer for our team (Server Farm Team).Server Farm (Farm) is the functional testing framework for Oracle Database and dependent products. Farm supports multiple platforms and operating systems, with resources distributed across multiple Oracle data centres and Oracle Cloud Regions. More than two lakhs of functional tests run in Farm every day.We are tackling some of the most intriguing problems in software architecture while designing and building highly scalable cloud native services, and solutions from the ground up.BASIC QUALIFICATIONS2+ years of experience with software development in one or more backend programming language namely Python with Perl/Bash/Shell (Linux/unix)2+ years of experience with data structures or algorithmsPrior experience in working on public cloud (Oracle Cloud, AWS, GPC, Azure) is preferredBachelor’s degree in computer science (or related field) or equivalent industry experienceRequires strong communication and writing skillsPREFERRED QUALIFICATIONS (Good to have)Experience with Docker/Podman containerization and kubernetes.Experience with REST/RPC API design and developmentExperience with event-driven systems like KafkaKnowledge in Linux and its administration with scripting capability to automate repetitive tasks. Linux kernel experience is a plusPractical experience writing large scale web applications including architectural decisions, language choices, frameworks and implementation."
Synechron,Python Developer,Mid-Senior level,"ob Description: Python DeveloperOverall Responsibilities:Designing, developing, and maintaining Python applications.Collaborating with cross-functional teams to define, design, and ship new features.Writing clean, efficient, and reusable code.Troubleshooting and debugging issues in existing codebase.Ensuring the performance, quality, and responsiveness of applications.Identifying and implementing improvements in development processes.Software Requirements:Proficient in Python programming language.Familiarity with Python frameworks such as Django or Flask.Experience with version control tools such as Git.Knowledge of database systems like MySQL or PostgreSQL.Understanding of front-end technologies such as HTML, CSS, and JavaScript.Experience with cloud platforms like AWS or Azure.Category-wise Technical Skills:Programming Languages: Python, SQLWeb Frameworks: Django, FlaskVersion Control: Git, GitHubDatabase Systems: MySQL, PostgreSQLFront-end Technologies: HTML, CSS, JavaScriptCloud Platforms: AWS, AzureExperience:Minimum of X years of experience as a Python Developer.Proven experience in developing Python applications.Familiarity with agile development methodologies.Experience with software testing and debugging.Day-to-Day Activities:Collaborating with the team to define project requirements and specifications.Developing and implementing software solutions.Writing clean, efficient, and maintainable code.Conducting code reviews and providing constructive feedback.Troubleshooting and resolving software defects and issues.Collaborating with cross-functional teams to deliver projects on time.Qualifications:Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field.Relevant certifications in Python or related technologies are a plus.Soft Skills:Strong problem-solving and analytical skills.Excellent communication and interpersonal skills.Ability to work independently as well as in a team.Attention to detail and a commitment to delivering high-quality work.Ability to multitask and prioritize tasks effectively.Willingness to learn new technologies and stay updated with industry trends.Note: This job description is a general guideline and may be subject to change based on specific project requirements and organizational needs."
Zithas Technologies,Junior Python Developer,Executive,"Company OverviewZithas Technologies is an IT solutions provider that helps businesses flourish in the market. With a team of professionals holding expertise in various fields, we strive to deliver the best solutions for our clients' business-related problems. We have 11-50 employees and our headquarters are located in Vadodara, Gujarat. Visit our website at www.zithas.com for more information.Job OverviewWe are seeking a Junior Python Developer to join our team at Zithas Technologies. As a Junior Python Developer, you will be responsible for developing high-quality software solutions using Python programming language. This is a full-time position based in Vadodara, Gujarat, India. The ideal candidate should have 1 to 3 years of experience in Python development.Qualifications And Skills1 to 3 years of experience in Python developmentStrong knowledge of Artificial Intelligence (AI) and Machine LearningProficient in Python programming languageExperience with Odoo is a plusExcellent communication skillsGood understanding of industry trends and developmentsRoles And ResponsibilitiesDevelop and maintain software applications using Python programming languageCollaborate with cross-functional teams to define, design, and ship new featuresWrite clean and efficient codeTroubleshoot and debug issuesOptimize performance and scalability of the applicationsEnsure code quality and adhere to best practicesStay up-to-date with industry trends and advancements in Python development"
Infosys,Python Senior Developer,Mid-Senior level,"Primary skills:PythonA day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and Support activities, to assure that our clients are satisfied with the high levels of service in the technology domain. You will gather the requirements and specifications to understand the client requirements in a detailed manner and translate the same into system requirements. You will play a key role in the overall estimation of work requirements to provide the right information on project estimations to Technology Leads and Project Managers. You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Knowledge of design principles and fundamentals of architecture Understanding of performance engineering Knowledge of quality processes and estimation techniques Basic understanding of project domain Ability to translate functional / nonfunctional requirements to systems requirements Ability to design and code complex programs Ability to write test cases and scenarios based on the specifications Good understanding of SDLC and agile methodologies Awareness of latest technologies and trends Logical thinking and problem solving skills along with an ability to collaborate"
GVR BUSINESS TRANSFORMS,Python Developer,Associate,"As a Python Developer, you will be responsible for developing, testing, and maintaining high-performance, scalable software solutions.ResponsibilitiesDevelop and maintain scalable Python applications.Collaborate with cross-functional teams.Conduct code reviews and address issues.Troubleshoot and resolve software defects.Stay updated with industry trends.Technical SkillsProficient in Python and relevant frameworks (e.g., Django, Flask).Experience with front-end technologies (HTML, CSS, JavaScript) is a plus.Knowledge of database systems (SQL, NoSQL).RequirementsBachelor's degree in CS or related field.1-7 years of Python development experience.Proficient in Django or Flask.Knowledge of front-end technologies.Strong problem-solving skills.**Candidates from Kerala **Excellent communication and collaboration abilities.Familiarity with version control systems (e.g., Git).Skills: python,flask,django,css"
Contus Tech,Python Developer,Entry level,"Key Skills:-Expert in Python, with knowledge of at least one Python web framework (such as Django, Flask, etc depending on your technology stack)Familiarity with some ORM (Object Relational Mapper) librariesAble to integrate multiple data sources and databases into one systemUnderstanding of the threading limitations of Python, and multi-process architecture Skills:- Python, Django and MongoDB"
